country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_other,abs_reason_travelled,abs_reason_in_playground,abs_reason_school,nc_reason_others,nc_reason_nopvconcern,nc_reason_religious_cultural,nc_reason_vaccines_safety,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
BWA,PALAPYE DISTRICT COUNCIL,PALAPYE DISTRICT COUNCIL,BOT-2026-02-1_nOPV_NID,nOPV2,Rnd1,9,2026-05-05T00:00:00Z,2026-05-09,2026-05-10,14,6,20,14,6,20,40,Fail,very poor,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2
BWA,SELIBE PHIKWE,SELIBE PHIKWE,BOT-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-23T00:00:00Z,2023-02-27,2023-02-28,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,SELIBE PHIKWE,SELIBE PHIKWE,BOT-2023-02-01_nOPV,nOPV2,Rnd2,21,2023-03-27T00:00:00Z,2023-03-31,2023-04-01,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,SELIBE PHIKWE TOWN COUNCIL,SELIBE PHIKWE TOWN COUNCIL,BOT-2026-02-1_nOPV_NID,nOPV2,Rnd1,11,2026-05-05T00:00:00Z,2026-05-09,2026-05-10,11,9,20,11,6,17,43,Fail,very poor,0,2,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,4.65,0,0,0,0,95.35,2.15
BWA,SEROWE,SEROWE,BOT-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-23T00:00:00Z,2023-02-27,2023-02-28,25,35,60,22,32,54,6,Fail,moderate,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,83.33,0.1
BWA,SEROWE,SEROWE,BOT-2023-02-01_nOPV,nOPV2,Rnd2,22,2023-03-27T00:00:00Z,2023-03-31,2023-04-01,25,35,60,25,33,58,2,Pass,high,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,50,0,50,0,0,0,0,0.03
BWA,SEROWE DISTRICT COUNCIL,SEROWE DISTRICT COUNCIL,BOT-2026-02-1_nOPV_NID,nOPV2,Rnd1,12,2026-05-05T00:00:00Z,2026-05-09,2026-05-10,15,15,30,13,11,24,36,Fail,very poor,1,0,0,0,0,0,35,0,0,0,0,0,0,1,0,0,0,2.78,0,0,0,0,0,97.22,1.2
BWA,SOUTH EAST,SOUTH EAST,BOT-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-23T00:00:00Z,2023-02-27,2023-02-28,36,24,60,35,23,58,2,Pass,high,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0.03
BWA,SOUTH EAST,SOUTH EAST,BOT-2023-02-01_nOPV,nOPV2,Rnd2,21,2023-03-27T00:00:00Z,2023-03-31,2023-04-01,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,TONOTA DISTRICT COUNCIL,TONOTA DISTRICT COUNCIL,BOT-2026-02-1_nOPV_NID,nOPV2,Rnd1,7,2026-05-05T00:00:00Z,2026-05-09,2026-05-10,10,10,20,8,9,17,43,Fail,very poor,0,0,3,0,0,0,40,0,2,0,1,0,0,0,0,0,0,0,0,6.98,0,0,0,93.02,2.15
BWA,TUTUME,TUTUME,BOT-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-23T00:00:00Z,2023-02-27,2023-02-28,25,35,60,24,34,58,2,Pass,high,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0.03
BWA,TUTUME,TUTUME,BOT-2023-02-01_nOPV,nOPV2,Rnd2,20,2023-03-27T00:00:00Z,2023-03-31,2023-04-01,32,28,60,30,27,57,3,Pass,high,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,33.33,0,0,66.67,0,0.05
BWA,TUTUME DISTRICT COUNCIL,TUTUME DISTRICT COUNCIL,BOT-2026-02-1_nOPV_NID,nOPV2,Rnd1,10,2026-05-05T00:00:00Z,2026-05-09,2026-05-10,8,12,20,8,12,20,40,Fail,very poor,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2
