country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_school,abs_reason_market,abs_reason_other,abs_reason_in_playground,abs_reason_travelled,nc_reason_others,nc_reason_no_felt_need,nc_reason_religious_cultural,nc_reason_no_care_giver_consent,nc_reason_child_sick,nc_reason_too_many_rnd,nc_reason_vaccines_safety,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
SSUD,EASTERN EQUATORIA,IKOTOS,SSD-79DS-09-2020,nOPV2,Rnd2,17,2021-02-16T00:00:00Z,2021-02-20,2021-02-21,35,25,60,30,24,54,6,Fail,moderate,0,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,66.67,33.33,0,0,0,0,0.1
SSUD,EASTERN EQUATORIA,KAPOETA EAST,RSS-2025-08-01_nOPV-sNID,nOPV2,Rnd1,21,2025-09-23T00:00:00Z,2025-09-27,2025-09-28,31,29,60,29,24,53,7,Fail,moderate,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.43,0,0,0,28.57,0,0.12
SSUD,EASTERN EQUATORIA,KAPOETA EAST,RSS-2025-08-01_nOPV-sNID,nOPV2,Rnd2,21,2025-11-04T00:00:00Z,2025-11-08,2025-11-09,30,30,60,25,25,50,10,Fail,poor,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.17
SSUD,EASTERN EQUATORIA,KAPOETA EAST,RSSmOPV10C2021,nOPV2,Rnd1,6,2021-02-19T00:00:00Z,2021-02-23,2021-02-24,26,34,60,13,20,33,27,Fail,very poor,0,12,2,0,0,13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,44.44,7.41,0,0,48.15,0,0.45
SSUD,EASTERN EQUATORIA,KAPOETA EAST,SSD-2024-02-01_nOPV2,nOPV2,Rnd2,21,2024-04-16T00:00:00Z,2024-04-20,2024-04-21,23,37,60,21,36,57,3,Pass,high,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,66.67,0.05
SSUD,EASTERN EQUATORIA,KAPOETA EAST,SSD-2024-10-01_nOPV2,nOPV2,Rnd2,22,2025-02-04T00:00:00Z,2025-02-08,2025-02-09,29,31,60,16,12,28,32,Fail,very poor,0,11,4,0,1,16,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,34.38,12.5,0,3.12,50,0,0.53
SSUD,EASTERN EQUATORIA,KAPOETA NORTH,RSSmOPV10C2021,nOPV2,Rnd1,6,2021-02-17T00:00:00Z,2021-02-21,2021-02-23,34,26,60,29,23,52,8,Fail,moderate,0,0,7,0,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,87.5,0,0,12.5,0,0.13
SSUD,EASTERN EQUATORIA,KAPOETA NORTH,RSSmOPV10C2021,nOPV2,Rnd2,21,2021-01-02T00:00:00Z,2021-01-06,2021-03-06,29,31,60,28,30,58,2,Pass,high,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
SSUD,EASTERN EQUATORIA,KAPOETA NORTH,SSD-2024-02-01_nOPV2,nOPV2,Rnd1,21,2024-02-27T00:00:00Z,2024-03-02,2024-03-03,28,32,60,27,28,55,5,Fail,moderate,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,20,60,0.08
SSUD,EASTERN EQUATORIA,KAPOETA NORTH,SSD-2024-02-01_nOPV2,nOPV2,Rnd2,21,2024-04-16T00:00:00Z,2024-04-20,2024-04-21,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSUD,EASTERN EQUATORIA,KAPOETA NORTH,SSD-2024-10-01_nOPV2,nOPV2,Rnd1,21,2024-11-11T00:00:00Z,2024-11-15,2024-11-16,27,33,60,24,29,53,7,Fail,moderate,0,0,6,0,0,0,1,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,85.71,0,0,0,14.29,0.12
SSUD,EASTERN EQUATORIA,KAPOETA NORTH,SSD-79DS-09-2020,nOPV2,Rnd2,5,2021-02-16T00:00:00Z,2021-02-20,2021-02-21,24,26,50,21,23,44,16,Fail,poor,0,0,2,0,0,2,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,75,0.32
SSUD,EASTERN EQUATORIA,KAPOETA SOUTH,RSS-2025-08-01_nOPV-sNID,nOPV2,Rnd2,21,2025-11-04T00:00:00Z,2025-11-08,2025-11-09,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSUD,EASTERN EQUATORIA,KAPOETA SOUTH,SSD-2024-02-01_nOPV2,nOPV2,Rnd1,21,2024-02-27T00:00:00Z,2024-03-02,2024-03-03,30,30,60,26,28,54,6,Fail,moderate,0,1,5,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,16.67,83.33,0,0,0,0,0.1
