country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_school,abs_reason_travelled,abs_reason_other,abs_reason_market,abs_reason_in_playground,abs_reason_farm,nc_reason_child_sick,nc_reason_no_care_giver_consent,nc_reason_no_felt_need,nc_reason_vaccines_safety,nc_reason_covid_19,nc_reason_religious_cultural,nc_reason_too_many_rnd,nc_reason_others,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
SEN,RM FATICK,GOSSAS,SEN_VPOn,nOPV2,Rnd2,21,2022-02-26T00:00:00Z,2022-03-02,2022-03-03,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,RM FATICK,NIAKHAR,SEN_VPOn,nOPV2,Rnd1,20,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,RM FATICK,NIAKHAR,SEN_VPOn,nOPV2,Rnd2,21,2022-02-26T00:00:00Z,2022-03-02,2022-03-03,33,27,60,33,26,59,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
SEN,RM FATICK,PASSY,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,27,33,60,25,31,56,4,Fail,moderate,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,25,25,0.07
SEN,RM FATICK,PASSY,SEN_VPOn,nOPV2,Rnd2,21,2022-02-26T00:00:00Z,2022-03-02,2022-03-03,28,32,60,27,31,58,2,Pass,high,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.03
SEN,RM FATICK,SOKONE,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,32,28,60,27,25,52,8,Fail,moderate,0,3,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37.5,12.5,0,0,37.5,12.5,0.13
SEN,RM FATICK,SOKONE,SEN_VPOn,nOPV2,Rnd2,21,2022-02-26T00:00:00Z,2022-03-02,2022-03-03,33,27,60,29,23,52,8,Fail,moderate,0,0,5,1,0,2,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,62.5,12.5,0,25,0,0.13
SEN,RM KAFFRINE,BIRKELANE,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,28,32,60,24,21,45,15,Fail,poor,0,10,2,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,66.67,13.33,0,0,20,0,0.25
SEN,RM KAFFRINE,BIRKELANE,SEN_VPOn,nOPV2,Rnd2,21,2022-02-26T00:00:00Z,2022-03-02,2022-03-03,33,27,60,33,26,59,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
SEN,RM KAFFRINE,KAFFRINE,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,31,29,60,24,24,48,12,Fail,poor,0,0,9,0,0,3,0,0,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,75,0,0,25,0,0.2
SEN,RM KAFFRINE,KAFFRINE,SEN_VPOn,nOPV2,Rnd2,21,2022-02-26T00:00:00Z,2022-03-02,2022-03-03,36,24,60,36,24,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,RM KAFFRINE,KOUNGHEUL,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,31,29,60,13,10,23,37,Fail,very poor,3,1,6,0,0,27,0,0,0,2,0,0,1,3,0,0,0,1,0,0,0,2,8.11,2.7,16.22,0,0,72.97,0,0.62
SEN,RM KAFFRINE,KOUNGHEUL,SEN_VPOn,nOPV2,Rnd2,24,2022-02-26T00:00:00Z,2022-03-02,2022-03-03,29,31,60,27,26,53,7,Fail,moderate,0,0,3,0,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.86,0,0,57.14,0,0.12
SEN,RM KAFFRINE,MALEM HODAR,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,28,32,60,23,27,50,10,Fail,poor,0,2,4,1,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,20,40,10,0,30,0,0.17
SEN,RM KAFFRINE,MALEM HODAR,SEN_VPOn,nOPV2,Rnd2,21,2022-02-26T00:00:00Z,2022-03-02,2022-03-03,34,26,60,34,25,59,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
SEN,RM KAOLACK,GUINGUINEO,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,27,33,60,26,31,57,3,Pass,high,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,33.33,0,0.05
