country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_market,abs_reason_in_playground,abs_reason_other,abs_reason_school,abs_reason_travelled,abs_reason_farm,nc_reason_covid_19,nc_reason_no_care_giver_consent,nc_reason_no_felt_need,nc_reason_vaccines_safety,nc_reason_nopvconcern,nc_reason_child_sick,nc_reason_religious_cultural,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
NAM,KUNENE,OUTJO,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,21,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,28,32,60,27,32,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
NAM,OHANGWENA,EENHANA,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,34,26,60,31,25,56,4,Fail,moderate,0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,25,50,0,0,0,25,0.07
NAM,OHANGWENA,EENHANA,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,21,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,32,28,60,32,27,59,1,Pass,high,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.02
NAM,OHANGWENA,ENGELA,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,33,27,60,31,25,56,4,Fail,moderate,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,50,25,0.07
NAM,OHANGWENA,ENGELA,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,21,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,26,34,60,26,33,59,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
NAM,OHANGWENA,OKONGO,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,20,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,32,28,60,27,24,51,9,Fail,poor,0,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,33.33,55.56,0.15
NAM,OHANGWENA,OKONGO,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,21,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,42,18,60,42,18,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,OMAHEKE,GOBABIS,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,29,31,60,24,25,49,11,Fail,poor,0,3,4,0,0,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,27.27,36.36,0,0,36.36,0,0.18
NAM,OMAHEKE,GOBABIS,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,20,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,35,25,60,35,23,58,2,Pass,high,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.03
NAM,OMUSATI,OKAHAO,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,26,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,36,24,60,36,24,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,OMUSATI,OKAHAO,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,21,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,OMUSATI,OSHIKUKU,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,27,33,60,24,33,57,3,Pass,high,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.05
NAM,OMUSATI,OSHIKUKU,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,21,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,35,25,60,34,25,59,1,Pass,high,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.02
NAM,OMUSATI,OUTAPI,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,31,29,60,30,28,58,2,Pass,high,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0.03
