country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_Non_Compliance,r_House_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_Giver_Informed_SIA,abs_reason_in_playground,abs_reason_other,abs_reason_school,abs_reason_travelled,abs_reason_farm,abs_reason_market,nc_reason_religious_cultural,nc_reason_child_sick,nc_reason_vaccines_safety,nc_reason_others,nc_reason_no_care_giver_consent,nc_reason_no_felt_need,prct_r_Non_Compliance,prct_r_House_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
NIG,NIAMEY,NIAMEY 5,GOTHEYE-mOPV,mOPV,Rnd1,21,2020-09-24T00:00:00Z,2020-09-28,2020-09-28,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,NIAMEY,NIAMEY 5,GOTHEYE-mOPV,mOPV,Rnd2,22,2020-10-29T00:00:00Z,2020-11-02,2020-11-02,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,98.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,NIAMEY,NIAMEY 5,MopUp2022_nOPV,nOPV2,Rnd1,21,2022-11-18T00:00:00Z,2022-11-22,2022-11-23,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,91.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,NIAMEY,NIAMEY 5,NIG-2023-05-01_nOPV,nOPV2,Rnd1,21,2023-05-26T00:00:00Z,2023-05-30,2023-05-31,32,28,60,29,28,57,3,Pass,high,0,0,3,0,0,0,0,63.33,0,3,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.05
NIG,NIAMEY,NIAMEY 5,NIG-2023-05-01_nOPV,nOPV2,Rnd2,21,2023-06-19T00:00:00Z,2023-06-23,2023-06-24,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,96.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,NIAMEY,NIAMEY 5,NIG-2023-11-01_nOPV,nOPV2,Rnd1,21,2023-12-05T00:00:00Z,2023-12-09,2023-12-10,25,35,60,25,33,58,2,Pass,high,0,0,1,1,0,0,0,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50,50,0,0,0,0.03
NIG,NIAMEY,NIAMEY 5,NIG-2023-11-01_nOPV,nOPV2,Rnd2,21,2024-01-05T00:00:00Z,2024-01-09,2024-01-10,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,NIAMEY,NIAMEY 5,NIG-2024-06-01_nOPV,nOPV2,Rnd1,21,2024-07-12T00:00:00Z,2024-07-16,2024-07-17,34,26,60,22,23,45,15,Fail,poor,0,8,6,1,0,0,0,83.33,1,4,0,1,0,0,0,0,0,0,0,0,0,53.33,40,6.67,0,0,0,0.25
NIG,NIAMEY,NIAMEY 5,NIG-2024-06-01_nOPV,nOPV2,Rnd2,14,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,32,28,60,31,28,59,1,Pass,high,1,0,0,0,0,0,0,96.67,0,0,0,0,0,0,0,0,0,0,1,0,100,0,0,0,0,0,0,0.02
NIG,NIAMEY,NIAMEY 5,NIG-2024-10-01_nOPV,nOPV2,Rnd1,21,2024-10-25T00:00:00Z,2024-10-29,2024-10-30,30,30,60,29,29,58,2,Pass,high,0,0,1,0,0,0,1,66.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0.03
