country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_Non_Compliance,r_House_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_Giver_Informed_SIA,abs_reason_in_playground,abs_reason_travelled,abs_reason_farm,abs_reason_school,abs_reason_other,abs_reason_market,nc_reason_covid_19,nc_reason_child_sick,nc_reason_too_many_rnd,nc_reason_nopvconcern,nc_reason_vaccines_safety,nc_reason_no_felt_need,nc_reason_no_care_giver_consent,prct_r_Non_Compliance,prct_r_House_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
SIL,NORTHERN,BOMBALI,SLE-2024-05-01_nOPV,nOPV2,Rnd1,19,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,91.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,NORTHERN,BOMBALI,SLE-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,28,32,60,25,30,55,5,Fail,moderate,0,1,0,0,0,4,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,80,0,0.08
SIL,NORTHERN,BOMBALI,SLE-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,32,28,60,27,20,47,13,Fail,poor,0,5,1,0,0,7,0,41.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38.46,7.69,0,0,53.85,0,0.22
SIL,NORTHERN,BOMBALI,Sierra Leone,nOPV2,Rnd2,21,2021-07-03T00:00:00Z,2021-07-07,2021-07-09,35,25,60,34,24,58,2,Pass,high,0,0,0,0,0,2,0,78.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.03
SIL,NORTHERN,FALABA,SLE-2024-05-01_nOPV,nOPV2,Rnd1,22,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,39,31,70,39,31,70,0,Pass,high,0,0,0,0,0,0,0,74.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,NORTHERN,FALABA,SLE-2024-05-01_nOPV,nOPV2,Rnd2,17,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,22,28,50,17,23,40,20,Fail,very poor,0,0,0,0,0,0,20,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.4
SIL,NORTHERN,FALABA,SLE-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,22,38,60,16,34,50,10,Fail,poor,0,0,3,0,0,1,6,66.67,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,10,60,0.17
SIL,NORTHERN,FALABA,Sierra Leone,nOPV2,Rnd2,21,2021-07-03T00:00:00Z,2021-07-07,2021-07-09,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,NORTHERN,KOINADUGU,SLE-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,32,28,60,31,25,56,4,Fail,moderate,0,0,3,0,0,1,0,83.33,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,25,0,0.07
SIL,NORTHERN,KOINADUGU,SLE-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,29,31,60,19,21,40,20,Fail,very poor,0,20,0,0,0,0,0,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.33
