country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_in_playground,abs_reason_school,abs_reason_travelled,abs_reason_market,abs_reason_other,nc_reason_vaccines_safety,nc_reason_child_sick,nc_reason_no_care_giver_consent,nc_reason_religious_cultural,nc_reason_others,nc_reason_no_felt_need,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
RCA,RS4,NANA-GRIBIZI,RCA-2025-10-01_nOPV_NIDs,nOPV2,Rnd2,17,2026-04-10T00:00:00Z,2026-04-14,2026-04-15,34,26,60,33,26,59,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
RCA,RS4,NANA-GRIBIZI,bOPV,bOPV,Rnd1,23,2021-10-25T00:00:00Z,2021-10-29,2021-10-30,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCA,RS5,BAMINGUI-BANGORAN,CAR-2023-05-01_nOPV,nOPV2,Rnd1,21,2023-06-02T00:00:00Z,2023-06-06,2023-06-07,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCA,RS5,BAMINGUI-BANGORAN,CAR-2023-05-01_nOPV,nOPV2,Rnd2,21,2023-09-07T00:00:00Z,2023-09-11,2023-09-12,29,31,60,28,31,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
RCA,RS5,BAMINGUI-BANGORAN,CAR-2024-02-01_nOPV,nOPV2,Rnd1,18,2024-03-06T00:00:00Z,2024-03-10,2024-03-11,22,28,50,21,27,48,12,Fail,poor,0,0,2,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,83.33,0.24
RCA,RS5,BAMINGUI-BANGORAN,CAR-2024-02-01_nOPV,nOPV2,Rnd2,21,2024-04-12T00:00:00Z,2024-04-16,2024-04-17,28,32,60,27,32,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
RCA,RS5,BAMINGUI-BANGORAN,CAR-2024-sNIDs-11_nOPV,nOPV2,Rnd1,8,2024-12-12T00:00:00Z,2024-12-16,2024-12-17,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCA,RS5,BAMINGUI-BANGORAN,CENTRALBLK,nOPV2,Rnd1,21,2022-06-07T00:00:00Z,2022-06-11,2022-06-13,26,34,60,26,33,59,1,Pass,high,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.02
RCA,RS5,BAMINGUI-BANGORAN,CENTRALBLK,nOPV2,Rnd2,21,2022-08-13T00:00:00Z,2022-08-17,2022-08-19,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCA,RS5,BAMINGUI-BANGORAN,RCA-2025-04-01_nOPV_NIDs,nOPV2,Rnd1,10,2025-04-24T00:00:00Z,2025-04-28,2025-04-29,16,24,40,14,22,36,24,Fail,very poor,0,0,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,87.5,0.6
RCA,RS5,BAMINGUI-BANGORAN,RCA-2025-04-01_nOPV_NIDs,nOPV2,Rnd2,21,2025-06-26T00:00:00Z,2025-06-30,2025-07-01,22,38,60,22,38,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCA,RS5,BAMINGUI-BANGORAN,RCA-2025-10-01_nOPV_NIDs,nOPV2,Rnd2,20,2026-04-10T00:00:00Z,2026-04-14,2026-04-15,28,32,60,27,28,55,5,Fail,moderate,0,0,4,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,20,0,0,0.08
RCA,RS5,HAUTE-KOTTO,CAR-2023-05-01_nOPV,nOPV2,Rnd2,21,2023-09-07T00:00:00Z,2023-09-11,2023-09-12,29,31,60,29,30,59,1,Pass,high,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
RCA,RS5,HAUTE-KOTTO,CAR-2024-02-01_nOPV,nOPV2,Rnd1,18,2024-03-06T00:00:00Z,2024-03-10,2024-03-11,27,33,60,26,28,54,6,Fail,moderate,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.1
RCA,RS5,HAUTE-KOTTO,CAR-2024-02-01_nOPV,nOPV2,Rnd2,20,2024-04-12T00:00:00Z,2024-04-16,2024-04-17,30,30,60,23,26,49,11,Fail,poor,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90.91,9.09,0,0,0,0,0.18
RCA,RS5,HAUTE-KOTTO,CAR-2024-sNIDs-11_nOPV,nOPV2,Rnd1,21,2024-12-12T00:00:00Z,2024-12-16,2024-12-17,30,30,60,30,28,58,2,Pass,high,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.03
RCA,RS5,HAUTE-KOTTO,CENTRALBLK,nOPV2,Rnd2,12,2022-08-21T00:00:00Z,2022-08-25,2022-08-27,26,24,50,26,24,50,10,Fail,poor,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.2
RCA,RS5,HAUTE-KOTTO,RCA-2025-04-01_nOPV_NIDs,nOPV2,Rnd1,20,2025-04-24T00:00:00Z,2025-04-28,2025-04-29,35,25,60,35,23,58,2,Pass,high,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
RCA,RS5,HAUTE-KOTTO,RCA-2025-04-01_nOPV_NIDs,nOPV2,Rnd2,21,2025-06-26T00:00:00Z,2025-06-30,2025-07-01,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
