country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_market,abs_reason_travelled,abs_reason_in_playground,abs_reason_school,abs_reason_other,nc_reason_no_felt_need,nc_reason_no_care_giver_consent,nc_reason_covid_19,nc_reason_others,nc_reason_vaccines_safety,nc_reason_child_sick,nc_reason_religious_cultural,nc_reason_too_many_rnd,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
GUI,CONAKRY,MATOTO,GUI-2025-01-NID_bOPV-nOPV,nOPV2,Rnd1,21,2025-02-21T00:00:00Z,2025-02-25,2025-02-26,30,30,60,30,29,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
GUI,CONAKRY,MATOTO,GUI-2025-01-NID_bOPV-nOPV,nOPV2,Rnd2,21,2025-05-08T00:00:00Z,2025-05-12,2025-05-13,34,26,60,33,26,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
GUI,CONAKRY,MATOTO,bOPV,bOPV,Rnd1,21,2021-10-24T00:00:00Z,2021-10-28,2021-10-30,39,21,60,23,16,39,21,Fail,very poor,3,8,4,1,0,5,0,0,0,2,0,0,0,2,0,2,0,0,0,1,0,0,14.29,38.1,19.05,4.76,0,23.81,0,0.35
GUI,CONAKRY,RATOMA,CONAKRY-mOPV,mOPV,Rnd1,21,2021-02-27T00:00:00Z,2021-03-03,2021-05-03,33,27,60,29,23,52,8,Fail,moderate,0,1,7,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,12.5,87.5,0,0,0,0,0.13
GUI,CONAKRY,RATOMA,CONAKRY-mOPV,mOPV,Rnd2,25,2021-09-02T00:00:00Z,2021-09-06,2021-10-06,35,25,60,23,19,42,18,Fail,poor,0,0,18,0,0,0,0,0,0,7,0,4,5,2,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.3
GUI,CONAKRY,RATOMA,GUI-2023-09-01_nOPV,nOPV2,Rnd1,21,2023-10-27T00:00:00Z,2023-10-31,2023-11-01,33,27,60,23,19,42,18,Fail,poor,1,15,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.56,83.33,5.56,0,0,5.56,0,0.3
GUI,CONAKRY,RATOMA,GUI-2023-09-01_nOPV,nOPV2,Rnd2,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,27,33,60,20,29,49,11,Fail,poor,0,1,5,1,0,4,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,9.09,45.45,9.09,0,36.36,0,0.18
GUI,CONAKRY,RATOMA,GUI-2024-06-LIDs_nOPV,nOPV2,Rnd1,21,2024-09-06T00:00:00Z,2024-09-10,2024-09-11,31,29,60,23,21,44,16,Fail,poor,2,5,4,3,2,0,0,0,0,1,2,1,0,0,0,2,0,0,0,0,0,0,12.5,31.25,25,18.75,12.5,0,0,0.27
GUI,CONAKRY,RATOMA,GUI-2024-10-NID_nOPV,nOPV2,Rnd1,21,2024-11-28T00:00:00Z,2024-12-02,2024-12-03,30,30,60,29,29,58,2,Pass,high,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.03
GUI,CONAKRY,RATOMA,GUI-2025-01-NID_bOPV-nOPV,nOPV2,Rnd1,21,2025-02-21T00:00:00Z,2025-02-25,2025-02-26,34,26,60,34,24,58,2,Pass,high,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,50,0,50,0,0,0,0,0.03
