country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_travelled,abs_reason_market,abs_reason_other,abs_reason_farm,abs_reason_school,nc_reason_child_sick,nc_reason_no_felt_need,nc_reason_religious_cultural,nc_reason_too_many_rnd,nc_reason_no_care_giver_consent,nc_reason_others,nc_reason_vaccines_safety,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
GHA,BONO EAST,NKORANZA SOUTH,nOPV2022,nOPV2,Rnd1,23,2022-07-05T00:00:00Z,2022-07-09,2022-08-09,25,35,60,24,34,58,2,Pass,high,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
GHA,BONO EAST,NKORANZA SOUTH,nOPV2022,nOPV2,Rnd2,21,2022-10-09T00:00:00Z,2022-10-13,2022-12-10,34,26,60,33,26,59,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
GHA,BONO EAST,PRU,GHA-2024-10-01_nOPV,nOPV2,Rnd1,23,2024-10-17T00:00:00Z,2024-10-21,2024-10-22,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,BONO EAST,PRU,GHA-2024-10-01_nOPV,nOPV2,Rnd2,20,2024-11-21T00:00:00Z,2024-11-25,2024-11-26,26,34,60,26,33,59,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
GHA,BONO EAST,PRU,nOPV2022,nOPV2,Rnd1,22,2022-07-05T00:00:00Z,2022-07-09,2022-08-09,39,21,60,32,15,47,13,Fail,poor,0,1,4,0,0,8,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,7.69,30.77,0,0,61.54,0,0.22
GHA,BONO EAST,PRU,nOPV2022,nOPV2,Rnd2,21,2022-10-09T00:00:00Z,2022-10-13,2022-12-10,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,BONO EAST,PRU WEST,GHA-2024-10-01_nOPV,nOPV2,Rnd1,21,2024-10-17T00:00:00Z,2024-10-21,2024-10-22,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,BONO EAST,PRU WEST,GHA-2024-10-01_nOPV,nOPV2,Rnd2,22,2024-11-21T00:00:00Z,2024-11-25,2024-11-26,39,21,60,39,21,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,BONO EAST,PRU WEST,nOPV2022,nOPV2,Rnd1,21,2022-07-05T00:00:00Z,2022-07-09,2022-09-09,35,25,60,33,22,55,5,Fail,moderate,0,1,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,20,80,0,0,0,0,0.08
GHA,BONO EAST,PRU WEST,nOPV2022,nOPV2,Rnd2,21,2022-10-09T00:00:00Z,2022-10-13,2022-12-10,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,BONO EAST,SENE EAST,GHA-2024-10-01_nOPV,nOPV2,Rnd1,21,2024-10-17T00:00:00Z,2024-10-21,2024-10-22,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,BONO EAST,SENE EAST,GHA-2024-10-01_nOPV,nOPV2,Rnd2,21,2024-11-21T00:00:00Z,2024-11-25,2024-11-26,38,22,60,38,22,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,BONO EAST,SENE EAST,nOPV2022,nOPV2,Rnd1,21,2022-08-05T00:00:00Z,2022-08-09,2022-09-09,23,37,60,23,37,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,BONO EAST,SENE EAST,nOPV2022,nOPV2,Rnd2,21,2022-10-09T00:00:00Z,2022-10-13,2022-10-14,31,29,60,30,29,59,1,Pass,high,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
GHA,BONO EAST,SENE WEST,GHA-2024-10-01_nOPV,nOPV2,Rnd1,21,2024-10-17T00:00:00Z,2024-10-21,2024-10-22,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,BONO EAST,SENE WEST,GHA-2024-10-01_nOPV,nOPV2,Rnd2,21,2024-11-21T00:00:00Z,2024-11-25,2024-11-26,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,BONO EAST,SENE WEST,nOPV2022,nOPV2,Rnd1,21,2022-08-05T00:00:00Z,2022-08-09,2022-11-09,33,27,60,18,12,30,30,Fail,very poor,2,2,1,0,0,25,0,0,0,0,1,0,0,0,0,0,0,2,0,0,6.67,6.67,3.33,0,0,83.33,0,0.5
GHA,BONO EAST,SENE WEST,nOPV2022,nOPV2,Rnd2,21,2022-10-09T00:00:00Z,2022-10-13,2022-10-14,37,23,60,36,23,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
GHA,BONO EAST,TECHIMAN MUNICIPAL,GHA-2024-10-01_nOPV,nOPV2,Rnd1,21,2024-10-17T00:00:00Z,2024-10-21,2024-10-22,36,24,60,36,24,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,BONO EAST,TECHIMAN MUNICIPAL,GHA-2024-10-01_nOPV,nOPV2,Rnd2,21,2024-11-21T00:00:00Z,2024-11-25,2024-11-26,37,23,60,34,20,54,6,Fail,moderate,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83.33,16.67,0,0,0,0,0.1
GHA,BONO EAST,TECHIMAN MUNICIPAL,nOPV2022,nOPV2,Rnd1,20,2022-07-05T00:00:00Z,2022-07-09,2022-08-09,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,BONO EAST,TECHIMAN MUNICIPAL,nOPV2022,nOPV2,Rnd2,21,2022-10-09T00:00:00Z,2022-10-13,2022-12-10,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,BONO EAST,TECHIMAN NORTH,GHA-2024-10-01_nOPV,nOPV2,Rnd1,21,2024-10-17T00:00:00Z,2024-10-21,2024-10-22,33,27,60,32,27,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
GHA,BONO EAST,TECHIMAN NORTH,GHA-2024-10-01_nOPV,nOPV2,Rnd2,21,2024-11-21T00:00:00Z,2024-11-25,2024-11-26,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,BONO EAST,TECHIMAN NORTH,nOPV2022,nOPV2,Rnd1,21,2022-07-05T00:00:00Z,2022-07-09,2022-09-09,30,30,60,23,24,47,13,Fail,poor,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.22
GHA,BONO EAST,TECHIMAN NORTH,nOPV2022,nOPV2,Rnd2,21,2022-10-09T00:00:00Z,2022-10-13,2022-12-10,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,CENTRAL,ABURA-ASEBU-KWAMANKESE,AMANSIE SOUTH,nOPV2,Rnd1,21,2020-09-12T00:00:00Z,2020-09-16,2020-09-17,28,32,60,24,29,53,7,Fail,moderate,0,0,3,0,0,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,42.86,0,0,28.57,28.57,0.12
GHA,CENTRAL,ABURA-ASEBU-KWAMANKESE,AMANSIE SOUTH,nOPV2,Rnd2,15,2020-10-09T00:00:00Z,2020-10-13,2020-10-14,32,28,60,28,24,52,8,Fail,moderate,0,0,2,0,1,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,25,0,12.5,50,12.5,0.13
GHA,CENTRAL,ABURA-ASEBU-KWAMANKESE,GHA-2024-10-01_nOPV,nOPV2,Rnd1,21,2024-10-17T00:00:00Z,2024-10-21,2024-10-22,32,28,60,30,28,58,2,Pass,high,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50,50,0,0,0,0,0,0.03
GHA,CENTRAL,ABURA-ASEBU-KWAMANKESE,GHA-2024-10-01_nOPV,nOPV2,Rnd2,21,2024-11-21T00:00:00Z,2024-11-25,2024-11-26,31,29,60,30,27,57,3,Pass,high,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,33.33,0,0,0.05
GHA,CENTRAL,ABURA-ASEBU-KWAMANKESE,nOPV2022,nOPV2,Rnd1,21,2022-08-05T00:00:00Z,2022-08-09,2022-09-09,32,28,60,30,28,58,2,Pass,high,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
GHA,CENTRAL,ABURA-ASEBU-KWAMANKESE,nOPV2022,nOPV2,Rnd2,21,2022-10-09T00:00:00Z,2022-10-13,2022-10-14,35,25,60,34,23,57,3,Pass,high,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,66.67,0,0.05
