country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_Non_Compliance,r_House_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_Giver_Informed_SIA,abs_reason_travelled,abs_reason_farm,abs_reason_school,abs_reason_market,abs_reason_in_playground,abs_reason_other,nc_reason_others,nc_reason_no_care_giver_consent,nc_reason_covid_19,nc_reason_child_sick,nc_reason_vaccines_safety,nc_reason_no_felt_need,prct_r_Non_Compliance,prct_r_House_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
LIB,MARYLAND,BARROBO WHOJAH DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,30,30,60,29,30,59,1,Pass,high,0,0,1,0,0,0,0,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
LIB,MARYLAND,BARROBO WHOJAH DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,20,40,60,20,40,60,0,Pass,high,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MARYLAND,HARPER DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MARYLAND,HARPER DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd2,20,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MARYLAND,HARPER DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd3,7,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,21,39,60,21,39,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MARYLAND,KARLUWAY 1 DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,37,23,60,37,23,60,0,Pass,high,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MARYLAND,KARLUWAY 1 DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MARYLAND,KARLUWAY 1 DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,30,30,60,30,29,59,1,Pass,high,0,0,1,0,0,0,0,83.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
LIB,MARYLAND,KARLUWAY 2 DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,28,32,60,28,31,59,1,Pass,high,0,0,1,0,0,0,0,88.33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
LIB,MARYLAND,KARLUWAY 2 DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd2,20,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,23,27,50,23,27,50,10,Fail,poor,0,0,0,0,0,0,10,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.2
