country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,year,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,missed_child,r_non_compliance,r_house_not_visited,r_childabsent,r_security,r_childnotborn,care_giver_informed_sia,percent_care_giver_informed_sia,total_missed,status,performance,tot_r,other_r,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_childnotborn,prct_r_security,prct_other_r
NIE,Anambra,Oyi,NIE-2025-04-01_nOPV_NIDs,nOPV2,Rnd1,6,2025-04-22,2025-04-26,2025-04-27,2025,33,27,60,28,22,50,10,3,6,1,0,0,23,38.33,10,Fail,poor,10,0,30,60,10,0,0,0
NIE,Anambra,Oyi,NIE-2025-04-01_nOPV_NIDs,nOPV2,Rnd2,6,2025-06-10,2025-06-14,2025-06-15,2025,28,32,60,26,32,58,2,0,1,1,0,0,40,66.67,2,Pass,high,2,0,0,50,50,0,0,0
NIE,Anambra,Oyi,OBR_name,bOPV,Rnd10,6,2021-10-09,2021-10-13,2021-10-14,2021,33,27,60,32,26,58,2,1,0,1,0,0,60,100,2,Pass,high,2,0,50,0,50,0,0,0
NIE,Anambra,Oyi,OBR_name,bOPV,Rnd4,6,2022-04-11,2022-04-15,2022-04-16,2022,35,25,60,34,24,58,2,0,1,1,0,0,45,75,2,Pass,high,2,0,0,50,50,0,0,0
NIE,BAUCHI,ALKALERI,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,28,32,60,28,32,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,BAUCHI,BAUCHI,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,37,23,60,36,22,58,2,0,1,1,0,0,45,75,2,Pass,high,2,0,0,50,50,0,0,0
NIE,BAUCHI,BOGORO,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,32,28,60,32,28,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,BAUCHI,DAMBAN,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,32,28,60,32,28,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,BAUCHI,DARAZO,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,26,34,60,26,34,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,BAUCHI,DASS,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,36,24,60,36,24,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,BAUCHI,GAMAWA,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,28,32,60,28,31,59,1,0,0,1,0,0,57,95,1,Pass,high,1,0,0,0,100,0,0,0
NIE,BAUCHI,GANJUWA,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,32,28,60,32,28,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,BAUCHI,GIADE,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,34,26,60,34,26,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,BAUCHI,ITAS/GADAU,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,31,29,60,0,0,0,60,0,0,0,0,0,33,55,60,Fail,very poor,0,60,0,0,0,0,0,100
NIE,BAUCHI,JAMA'ARE,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,26,34,60,26,33,59,1,0,0,1,0,0,60,100,1,Pass,high,1,0,0,0,100,0,0,0
NIE,BAUCHI,KATAGUM,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,28,32,60,27,31,58,2,2,0,0,0,0,59,98.33,2,Pass,high,2,0,100,0,0,0,0,0
NIE,BAUCHI,KIRFI,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,31,29,60,30,28,58,2,1,1,0,0,0,49,81.67,2,Pass,high,2,0,50,50,0,0,0,0
NIE,BAUCHI,MISAU,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,31,29,60,28,28,56,4,0,2,2,0,0,60,100,4,Fail,moderate,4,0,0,50,50,0,0,0
NIE,BAUCHI,NINGI,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,33,27,60,33,26,59,1,0,1,0,0,0,43,71.67,1,Pass,high,1,0,0,100,0,0,0,0
